 time            p2e             vout           
 8.94134856e-08  1.19999998e+00  7.06082448e-01 
 8.95134856e-08  1.19999998e+00  7.06165150e-01 
 8.96134856e-08  1.19999998e+00  7.06242897e-01 
 8.97134856e-08  1.19999998e+00  7.06315986e-01 
 8.98134856e-08  1.19999998e+00  7.06384696e-01 
 8.99134856e-08  1.19999998e+00  7.06449288e-01 
 9.00134856e-08  1.19999998e+00  7.06510011e-01 
 9.01134856e-08  1.19999998e+00  7.06567095e-01 
 9.02134856e-08  1.19999998e+00  7.06620759e-01 
 9.03134856e-08  1.19999998e+00  7.06671207e-01 
 9.04134856e-08  1.19999998e+00  7.06718632e-01 
 9.05134856e-08  1.19999998e+00  7.06763215e-01 
 9.06134856e-08  1.19999998e+00  7.06805127e-01 
 9.07134856e-08  1.19999998e+00  7.06844526e-01 
 9.08134856e-08  1.19999998e+00  7.06881565e-01 
 9.09134856e-08  1.19999998e+00  7.06916383e-01 
 9.10134856e-08  1.19999998e+00  7.06949114e-01 
 9.11134856e-08  1.19999998e+00  7.06979884e-01 
 9.12134856e-08  1.19999998e+00  7.07008809e-01 
 9.13134856e-08  1.19999998e+00  7.07036000e-01 
 9.14134856e-08  1.19999998e+00  7.07061561e-01 
 9.15134856e-08  1.19999998e+00  7.07085589e-01 
 9.16134856e-08  1.19999998e+00  7.07108177e-01 
 9.17134856e-08  1.19999998e+00  7.07129410e-01 
 9.18134856e-08  1.19999998e+00  7.07149370e-01 
 9.19134856e-08  1.19999998e+00  7.07168133e-01 
 9.20134856e-08  1.19999998e+00  7.07185770e-01 
 9.21134856e-08  1.19999998e+00  7.07202350e-01 
 9.22134856e-08  1.19999998e+00  7.07217934e-01 
 9.23134856e-08  1.19999998e+00  7.07232584e-01 
 9.24134856e-08  1.19999998e+00  7.07246355e-01 
 9.25134856e-08  1.19999998e+00  7.07259299e-01 
 9.26134856e-08  1.19999998e+00  7.07271467e-01 
 9.27134856e-08  1.19999998e+00  7.07282904e-01 
 9.28134856e-08  1.19999998e+00  7.07293654e-01 
 9.29134856e-08  1.19999998e+00  7.07303759e-01 
 9.30134856e-08  1.19999998e+00  7.07313257e-01 
 9.31134856e-08  1.19999998e+00  7.07322185e-01 
 9.32134856e-08  1.19999998e+00  7.07330576e-01 
 9.33134856e-08  1.19999998e+00  7.07338463e-01 
 9.34134856e-08  1.19999998e+00  7.07345876e-01 
 9.35134856e-08  1.19999998e+00  7.07352843e-01 
 9.36134856e-08  1.19999998e+00  7.07359392e-01 
