 time            vo              q               p1              p2             
 3.45002231e-05 -4.48419886e-01 -3.43591814e-04  0.00000000e+00  0.00000000e+00 
 3.45002288e-05 -4.48419886e-01 -1.40534724e-04  0.00000000e+00  0.00000000e+00 
 3.45002339e-05 -4.48419886e-01  2.64214910e-05  0.00000000e+00  0.00000000e+00 
 3.45002380e-05 -4.48419886e-01  1.61636321e-04  0.00000000e+00  0.00000000e+00 
 3.45002430e-05 -4.48419886e-01  3.19812720e-04  0.00000000e+00  0.00000000e+00 
 3.45002481e-05 -4.48419886e-01  4.09767339e-04  0.00000000e+00  0.00000000e+00 
 3.45002529e-05 -4.48419886e-01  3.80492147e-04  0.00000000e+00  0.00000000e+00 
 3.45002575e-05 -4.48419886e-01  2.60183171e-04  0.00000000e+00  0.00000000e+00 
 3.45002632e-05 -4.48419886e-01  9.27580087e-05  0.00000000e+00  0.00000000e+00 
 3.45002694e-05 -4.48419886e-01 -2.11896791e-05  0.00000000e+00  0.00000000e+00 
 3.45002780e-05 -4.48419886e-01 -7.30461812e-05  0.00000000e+00  0.00000000e+00 
 3.45002889e-05 -4.48419886e-01 -6.37595954e-05  0.00000000e+00  0.00000000e+00 
 3.45003032e-05 -4.48419886e-01 -3.21909023e-05  0.00000000e+00  0.00000000e+00 
 3.45003217e-05 -4.48419885e-01 -7.99393038e-06  0.00000000e+00  0.00000000e+00 
 3.45003470e-05 -4.48419885e-01  1.66163717e-06  0.00000000e+00  0.00000000e+00 
 3.45003849e-05 -4.48419885e-01  2.26708589e-06  0.00000000e+00  0.00000000e+00 
 3.45004543e-05 -4.48419885e-01  7.82037719e-07  0.00000000e+00  0.00000000e+00 
 3.45005779e-05 -4.48419885e-01  1.59023617e-07  0.00000000e+00  0.00000000e+00 
 3.45007598e-05 -4.48419885e-01  5.84647544e-08  0.00000000e+00  0.00000000e+00 
 3.45011103e-05 -4.48419884e-01  4.25387968e-08  0.00000000e+00  0.00000000e+00 
 3.45018112e-05 -4.48419883e-01  5.53970661e-08  0.00000000e+00  0.00000000e+00 
 3.45032131e-05 -4.48419880e-01  5.94556187e-08  0.00000000e+00  0.00000000e+00 
 3.45051000e-05 -4.48419877e-01  5.92278247e-08  0.00000000e+00  3.68459332e-11 
 3.45051100e-05 -4.48419876e-01  5.92126617e-08  0.00000000e+00  1.20000000e-01 
 3.45051300e-05 -4.48419876e-01  5.91893382e-08  0.00000000e+00  3.60000000e-01 
 3.45051348e-05 -4.48419876e-01  5.91851540e-08  0.00000000e+00  4.17500000e-01 
 3.45051432e-05 -4.48419876e-01  5.91790595e-08  0.00000000e+00  5.18125000e-01 
 3.45051525e-05 -4.48397049e-01  5.91738044e-08  0.00000000e+00  6.29531250e-01 
 3.45051710e-05 -4.48337036e-01  5.91666698e-08  0.00000000e+00  8.52343750e-01 
 3.45051953e-05 -4.48250523e-01  5.91616094e-08  0.00000000e+00  1.14408872e+00 
 3.45052000e-05 -4.48233205e-01  5.91611125e-08  0.00000000e+00  1.20000000e+00 
 3.45052049e-05 -4.48215012e-01  5.91607224e-08  0.00000000e+00  1.20000000e+00 
 3.45052146e-05 -4.48178636e-01  5.91600574e-08  0.00000000e+00  1.20000000e+00 
 3.45052340e-05 -4.48105935e-01  5.91591573e-08  0.00000000e+00  1.20000000e+00 
